Cost information,IDB study,Journal Rank,assigned_project_user,authors,cells,confidence_rating,continents,countries,doi,evaluation_method,evidence_types,id,income_level,intervention_ids,intervention_labels,journal_name,keywords_string,outcome_ids,outcome_labels,publication_of_type,publication_of_type_short,record_id,status,study_status,title,type,url,year_of_publication
Cost-benefit/cost-effectiveness analyses,No,Q1,,"Lopoo, Leonard M.; Cardon, Emily; Souders, Sarah; Dale, Maximilian Kroner; Ngo, Uyen","[""Urban roads | Transport safety""]",,"[""North America""]","[""United States""]",10.1080/07352166.2024.2314040,Fixed effects (incl. DiD),"[""Impact evaluations""]",33585,"[""High income""]","[""2159""]","[""Urban roads""]",JOURNAL OF URBAN AFFAIRS,,"[""2183""]","[""Transport safety""]",Journal article,JOUR,33585,Published EGM,completed,"An Evaluation of a Vision Zero Traffic-Calming Intervention, an Urban Transportation Safety Policy",ier,https://www.tandfonline.com/doi/citedby/10.1080/07352166.2024.2314040?scroll=top&needAccess=true,2024
None,No,Q1,,"Staton, Catherine; Vissoci, Joao; Gong, Enying; Toomey, Nicole; Wafula, Rebeccah; Abdelgadir, Jihad; Zhou, Yi; Liu, Chen; Pei, Fengdi; Zick, Brittany; Ratliff, Camille D.; Rotich, Claire; Jadue, Nicole; Luciano de Andrade; von Isenburg, Megan; Hocker, Michael","[""Urban roads | Transport safety""]",low,"[""Sub-Saharan Africa"", ""Latin America and Caribbean"", ""East Asia and Pacific"", ""Middle East and North Africa""]","[""Ethiopia"", ""Uganda"", ""South Africa"", ""Tanzania"", ""Brazil"", ""Mexico"", ""Colombia"", ""Cuba"", ""Thailand"", ""Vietnam"", ""Iran, Islamic Rep.""]",10.1371/journal.pone.0144971,,"[""Low confidence reviews""]",9467,"[""Low income"", ""Upper middle income"", ""Lower middle income""]","[""2159""]","[""Urban roads""]",PLoS ONE,Road Traffic Injuries|| Rtis|| Road Safety Legislation|| Speed Control Measures|| Road Improvement|| Road Safety Education,"[""2183""]","[""Transport safety""]",Journal article,JOUR,9467,Published,completed,Road Traffic Injury Prevention Initiatives: A Systematic Review And Metasummary Of Effectiveness In Low And Middle Income Countries,srr,https://developmentevidence.3ieimpact.org/search-result-details/systematic-review-repository/road-traffic-injury-prevention-initiatives--a-systematic-review-and-metasummary-of-effectiveness-in-low-and-middle-income-countries/9467,2016
None,No,Q2,,"Ulinski Aguilera, Sandra; Moysés, Simone; Moysés, Samuel Jorge","[""Urban roads | Transport safety""]",low,"[""Multi-continent""]","[""Multi-country""]",No DOI,,"[""Low confidence reviews""]",34691,[],"[""2159""]","[""Urban roads""]",Revista panamericana de salud publica-pan american journal of public health,,"[""2183""]","[""Transport safety""]",Journal article,JOUR,34691,Published EGM,completed,Road safety measures and their effects on traffic injuries: a systematic review,srr,https://www.scielosp.org/pdf/rpsp/v36n4/07.pdf,2014
None,Yes,Q2,,"Lefio, Alvaro; Bachelet, Vivienne; Jiménez-Paneque, Rosa; Gomolán, Patricio; Rivas, Katherinne","[""Urban roads | Transport safety""]",low,"[""Multi-continent""]","[""Multi-country""]",10.26633/RPSP.2018.60,,"[""Low confidence reviews""]",34688,[],"[""2159""]","[""Urban roads""]",Revista panamericana de salud publica-pan american journal of public health,,"[""2183""]","[""Transport safety""]",Journal article,JOUR,34688,Published EGM,completed,A systematic review of the effectiveness of interventions to reduce motor vehicle crashes and their injuries among the general and working populations,srr,https://pmc.ncbi.nlm.nih.gov/articles/PMC6386148/,2018
None,No,Q2,,"Graham, John Edward; Jones, Adam Talbot","[""Urban roads | Land, housing, and rent prices and affordability""]",,"[""North America""]","[""United States""]",10.1108/IJHMA-10-2017-0091,Fixed effects (incl. DiD),"[""Impact evaluations""]",33539,"[""High income""]","[""2159""]","[""Urban roads""]",INTERNATIONAL JOURNAL OF HOUSING MARKETS AND ANALYSIS,,"[""2194""]","[""Land, housing, and rent prices and affordability""]",Journal article,JOUR,33539,Published EGM,completed,A Bump in the Road: Speed Bumps' Impact on Property Values,ier,https://www.emerald.com/ijhma/article-abstract/12/1/43/121171/A-bump-in-the-road-speed-bumps-impact-on-property?redirectedFrom=fulltext,2019
None,No,Q1,,"Ghosh, Chinmoy; Panchapagesan, Venkatesh; Venkataraman, Madalasa","[""Urban roads | Land, housing, and rent prices and affordability""]",,"[""South Asia""]","[""India""]",10.1007/s11146-022-09938-5,Fixed effects (incl. DiD),"[""Impact evaluations""]",31467,"[""Lower middle income""]","[""2159""]","[""Urban roads""]",The Journal of Real Estate Finance and Economics,Infrastructural development|| Inner-city rejuvenation|| Real Estate|| Pricing|| Hedonic modelling|| value capture,"[""2194""]","[""Land, housing, and rent prices and affordability""]",Journal article,JOUR,31467,Published,completed,On the Impact of Infrastructure Improvement on Real Estate Property Values: Evidence from a quasi-natural experiment in an Emerging Market,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/on-the-impact-of-infrastructure-improvement-on-real-estate-property-values--evidence-from-a-quasi-natural-experiment-in-an-emerging-market/31467,2024
None,No,Q2,,"Carvalho, Daniel; Santos, Gervasio","[""Urban roads | Goods and services prices and inflation"", ""Urban roads | Inequality and segregation"", ""Urban roads | Employment access and outcomes"", ""Urban roads | Economic activity""]",,"[""Latin America and Caribbean""]","[""El Salvador""]",10.1111/rsp3.12496,Instrumental variable estimation,"[""Impact evaluations""]",34378,"[""Upper middle income""]","[""2159""]","[""Urban roads""]",REGIONAL SCIENCE POLICY AND PRACTICE,job accessibility|| public and private transportation systems|| urban population,"[""2195"", ""2199"", ""2201"", ""2202""]","[""Goods and services prices and inflation"", ""Inequality and segregation"", ""Employment access and outcomes"", ""Economic activity""]",Journal article,JOUR,34378,Published,completed,Transport and Density of Population Groups in the Urban Area of the City of Salvador,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/transport-and-density-of-population-groups-in-the-urban-area-of-the-city-of-salvador/34378,2022
None,No,Q1,,"Turley, Ruth; Saith, Ruhi; Bhan, Nandita; Rehfuess, Eva; Ben, Carter","[""Urban roads | Health access and outcomes""]",high,"[""Sub-Saharan Africa"", ""South Asia"", ""Latin America and Caribbean"", ""East Asia and Pacific""]","[""India"", ""Mexico"", ""Argentina"", ""Brazil"", ""Philippines"", ""Indonesia""]",10.1002/14651858.CD010067.pub2,,"[""High confidence reviews""]",9117,"[""Lower middle income"", ""Upper middle income""]","[""2159""]","[""Urban roads""]",3ie Systematic Review,Slum|| Informal|| Sanitation,"[""2196""]","[""Health access and outcomes""]",3ie series report,RPRT,9117,Published,completed,Slum Upgrading Strategies Involving Physical Environment And Infrastructure Interventions And Their Effects On Health And Socio-Economic Outcomes (Review),srr,https://developmentevidence.3ieimpact.org/search-result-details/systematic-review-repository/slum-upgrading-strategies-involving-physical-environment-and-infrastructure-interventions-and-their-effects-on-health-and-socio-economic-outcomes-(review)/9117,2013
Cost information (program costs and/or cost per participant),No,Q1,,Abeberese AB; Chen M,"[""Urban roads | Employment access and outcomes"", ""Urban roads | Economic activity""]",,"[""South Asia""]","[""India""]",10.1016/j.jdeveco.2021.102791,Fixed effects (incl. DiD),"[""Impact evaluations""]",33252,"[""Low income""]","[""2159""]","[""Urban roads""]",JOURNAL OF DEVELOPMENT ECONOMICS,,"[""2201"", ""2202""]","[""Employment access and outcomes"", ""Economic activity""]",,,33252,Published,completed,"Intranational trade costs, product scope and productivity: Evidence from India's Golden Quadrilateral project",ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/intranational-trade-costs--product-scope-and-productivity--evidence-from-india-s-golden-quadrilateral-project/33252,2022
None,No,Q1,,"Gerritse, Michiel; Arribas-Bel, Daniel","[""Urban roads | Economic activity""]",,"[""North America""]","[""United States""]",10.1080/00343404.2017.1369023,Instrumental variable estimation,"[""Impact evaluations""]",33375,"[""High income""]","[""2159""]","[""Urban roads""]",REGIONAL STUDIES,,"[""2202""]","[""Economic activity""]",Journal article,JOUR,33375,Published EGM,completed,Concrete Agglomeration Benefits: Do Roads Improve Urban Connections or Just Attract More People?,ier,https://www.tandfonline.com/doi/full/10.1080/00343404.2017.1369023,2018
Cost information (program costs and/or cost per participant),No,Q1,,"Jones, Sam; Salazar, César","[""Bridges | Travel time, commuting and speed"", ""Bridges | Resilience and continuity"", ""Bridges | Agricultural outcomes""]",,"[""Sub-Saharan Africa""]","[""Mozambique""]",https://doi.org/10.1111/ajae.12103,Fixed effects (incl. DiD),"[""Impact evaluations""]",21712,"[""Low income""]","[""2166""]","[""Bridges""]",American Journal of Agricultural Economics,agricultural market performance|| infrastructure|| Natural Experiment|| Prices,"[""2181"", ""2184"", ""2204""]","[""Travel time, commuting and speed"", ""Resilience and continuity"", ""Agricultural outcomes""]",Journal article,JOUR,21712,Published,completed,Infrastructure Improvements and Maize Market Integration: Bridging the Zambezi in Mozambique,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/infrastructure-improvements-and-maize-market-integration--bridging-the-zambezi-in-mozambique/21712,2021
None,No,Q1,,"Thomas, Evan; Bradshaw, Abigail; Mugabo, Lambert; MacDonald, Laura; Brooks, Wyatt; Dickinson, Katherine; Donovan, Kevin","[""Bridges | Travel time, commuting and speed"", ""Bridges | Health access and outcomes"", ""Bridges | Education access and outcomes"", ""Bridges | Access to other goods and services"", ""Bridges | Employment access and outcomes"", ""Bridges | Agricultural outcomes"", ""Bridges | Household welfare and poverty""]",,"[""Sub-Saharan Africa""]","[""Rwanda""]",10.1016/j.scitotenv.2021.145275,Statistical matching,"[""Impact evaluations""]",20441,"[""Low income""]","[""2166""]","[""Bridges""]",Science of the Total Environment,Trailbridge|| RWANDA|| Resilience|| Environment,"[""2181"", ""2196"", ""2197"", ""2198"", ""2201"", ""2204"", ""2361""]","[""Travel time, commuting and speed"", ""Health access and outcomes"", ""Education access and outcomes"", ""Access to other goods and services"", ""Employment access and outcomes"", ""Agricultural outcomes"", ""Household welfare and poverty""]",Journal article,JOUR,20441,Published,completed,Engineering Environmental Resilience: A Matched Cohort Study of the Community Benefits of Trailbridges in Rural Rwanda,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/engineering-environmental-resilience--a-matched-cohort-study-of-the-community-benefits-of-trailbridges-in-rural-rwanda/20441,2021
Cost information (program costs and/or cost per participant),No,"Not indexed / Other (grey literature, working papers, dissertations, reports)",,"Salazar, César; Jones, Sam","[""Bridges | Goods and services prices and inflation""]",,"[""Sub-Saharan Africa""]","[""Mozambique""]",10.35188/UNU-WIDER/2017/417-9,Fixed effects (incl. DiD),"[""Impact evaluations""]",20660,"[""Low income""]","[""2166""]","[""Bridges""]",Other,Rural Roads Infrastructure And Transport|| agricultural market performance|| Prices|| Natural Experiments,"[""2195""]","[""Goods and services prices and inflation""]",Published working paper,RPRT,20660,Published,completed,The Impact Of Infrastructure Shocks On Agricultural Markets: Evidence From The Zambezi River In Mozambique,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/the-impact-of-infrastructure-shocks-on-agricultural-markets--evidence-from-the-zambezi-river-in-mozambique/20660,2017
None,No,Q1,,"Macharia, Denis; MacDonald, Laura; Mugabo, Lambert; Donovan, Kevin; Brooks, Wyatt; Gudissa, Sorenie; Noriega, Abbie; Barstow, Christina; Dickinson, Katie; Thomas, Evan","[""Bridges | Health access and outcomes"", ""Bridges | Education access and outcomes"", ""Bridges | Employment access and outcomes"", ""Bridges | Economic activity"", ""Bridges | Agricultural outcomes"", ""Bridges | Household welfare and poverty""]",,"[""Sub-Saharan Africa""]","[""Rwanda""]",https://doi.org/10.1016/j.scitotenv.2022.156546,Randomised controlled trial,"[""Ongoing evaluations""]",21600,"[""Low income""]","[""2166""]","[""Bridges""]",Science of the Total Environment,Trailbridge|| Isolation|| Extreme weather event|| Impact evaluations|| Mixed Methods|| Remote Sensing|| Rwanda,"[""2196"", ""2197"", ""2201"", ""2202"", ""2204"", ""2361""]","[""Health access and outcomes"", ""Education access and outcomes"", ""Employment access and outcomes"", ""Economic activity"", ""Agricultural outcomes"", ""Household welfare and poverty""]",Journal article,JOUR,21600,Published,ongoing,"Mixed Methods Study Design, Pre-Analysis Plan, Process Evaluation and Baseline Results of Trailbridges in Rural Rwanda",ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/mixed-methods-study-design--pre-analysis-plan--process-evaluation-and-baseline-results-of-trailbridges-in-rural-rwanda/21600,2022
Cost information (program costs and/or cost per participant),No,Q1,,"Blankespoor, Brian; Emran, M. Shahe; Shilpi, Forhad; Xu, Lu","[""Bridges | Health access and outcomes"", ""Bridges | Education access and outcomes"", ""Bridges | Access to other goods and services"", ""Bridges | Economic activity"", ""Bridges | Agricultural outcomes""]",,"[""South Asia""]","[""Bangladesh""]",https://doi.org/10.1093/jeg/lbab024,Fixed effects (incl. DiD),"[""Impact evaluations""]",16397,"[""Low income""]","[""2166""]","[""Bridges""]",Journal of Economic Geography,Agglomeration|| Agricultural Productivity|| Backwash|| Bigpush|| Bridge|| Core-Periphery|| Deindustrialization|| Density,"[""2196"", ""2197"", ""2198"", ""2202"", ""2204""]","[""Health access and outcomes"", ""Education access and outcomes"", ""Access to other goods and services"", ""Economic activity"", ""Agricultural outcomes""]",Journal article,JOUR,16397,Published,completed,"Bridge to Bigpush or Backwash? Market Integration, Reallocation, and Productivity Effects of Jamuna Bridge in Bangladesh",ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/bridge-to-bigpush-or-backwash--market-integration--reallocation--and-productivity-effects-of-jamuna-bridge-in-bangladesh/16397,2022
Cost information (program costs and/or cost per participant),No,Q1,,"Brooks, Wyatt; Donovan, Kevin","[""Bridges | Employment access and outcomes"", ""Bridges | Agricultural outcomes"", ""Bridges | Household welfare and poverty""]",,"[""Latin America and Caribbean""]","[""Nicaragua""]",10.3982/ECTA15828,Fixed effects (incl. DiD),"[""Impact evaluations""]",20421,"[""Lower middle income""]","[""2166""]","[""Bridges""]",Econometrica,Uncertainty|| Market Access|| New Bridges|| Nicaragua,"[""2201"", ""2204"", ""2361""]","[""Employment access and outcomes"", ""Agricultural outcomes"", ""Household welfare and poverty""]",Journal article,JOUR,20421,Published,completed,Eliminating Uncertainty in Market Access: The Impact of New Bridges in Rural Nicaragua,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/eliminating-uncertainty-in-market-access--the-impact-of-new-bridges-in-rural-nicaragua/20421,2020
Cost information (program costs and/or cost per participant),No,Q1,,"De Borger, Bruno; Mulalic, Ismir; Rouwendal, Jan","[""Bridges | Employment access and outcomes"", ""Bridges | Economic activity""]",,"[""Europe and Central Asia""]","[""Denmark""]",10.1016/j.regsciurbeco.2025.104133,Fixed effects (incl. DiD),"[""Impact evaluations""]",34448,"[""High income""]","[""2166""]","[""Bridges""]",not applicable,,"[""2201"", ""2202""]","[""Employment access and outcomes"", ""Economic activity""]",Journal article,JOUR,34448,Published EGM,completed,Productivity and Wage Effects of Exogenous Transport Infrastructure Improvements: Accessibility and the Great Belt Bridge,ier,https://www.sciencedirect.com/science/article/pii/S016604622500050X,2025
None,No,"Not indexed / Other (grey literature, working papers, dissertations, reports)",,"Mahmud, Minhaj; Sawada, Yasuyuki","[""Bridges | Employment access and outcomes""]",,"[""South Asia""]","[""Bangladesh""]",10.1080/19439342.2018.1483415,Fixed effects (incl. DiD),"[""Impact evaluations""]",14917,"[""Low income""]","[""2166""]","[""Bridges""]",Journal of Development Effectiveness,Economic Development: Urban|| Rural|| Regional|| and Transportation Analysis|| Housing|| Infrastructure (O18)|| Economic Development: Human Resources|| Human Development|| Income Distribution|| Migration (O15)|| Neighborhood Characteristics (R23)|| Population|| Regional Labor Markets|| Urban|| Rural|| Regional|| Real Estate|| and Transportation Economics: Regional Migration|| General Welfare|| Well-Being (I31)|| National Government Expenditures and Related Policies: Infrastructures|| Other Public Investment and Capital Stock (H54)|| Road Maintenance|| Transportation Planning (R42)|| Transportation Economics: Government and Private Investment Analysis|| Unemployment: Models|| Duration|| Incidence|| and Job Search (J64),"[""2201""]","[""Employment access and outcomes""]",Journal article,JOUR,14917,Published,completed,Infrastructure and Well-Being: Employment Effects of Jamuna Bridge in Bangladesh,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/infrastructure-and-well-being--employment-effects-of-jamuna-bridge-in-bangladesh/14917,2018
Cost information (program costs and/or cost per participant),No,Q1,,"Mottaleb, Khondoker Abdul; Rahut, Dil Bahadur","[""Bridges | Employment access and outcomes"", ""Bridges | Trade and migration""]",,"[""South Asia""]","[""Bangladesh""]",10.1057/s41287-018-0186-8,Fixed effects (incl. DiD),"[""Impact evaluations""]",14844,"[""Low income""]","[""2166""]","[""Bridges""]",The European Journal of Development Research,Economic Development: Urban|| Rural|| Regional|| and Transportation Analysis|| Housing|| Infrastructure (O18)|| Energy|| Economic Development: Agriculture|| Environment|| Natural Resources|| Other Primary Products (O13)|| Neighborhood Characteristics (R23)|| Population|| Regional Labor Markets|| Urban|| Rural|| Regional|| Real Estate|| and Transportation Economics: Regional Migration|| Wage Differentials (J31)|| Wage Level and Structure|| Geographic Labor Mobility|| National Government Expenditures and Related Policies: Infrastructures|| Other Public Investment and Capital Stock (H54)|| Immigrant Workers (J61)|| Public Facility Location Analysis|| Public Investment and Capital Stock (R53),"[""2201"", ""2203""]","[""Employment access and outcomes"", ""Trade and migration""]",Journal article,JOUR,14844,Published,completed,"Impacts of Improved Infrastructure on Labor Allocation and Livelihoods: The Case of the Jamuna Multipurpose Bridge, Bangladesh",ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/impacts-of-improved-infrastructure-on-labor-allocation-and-livelihoods--the-case-of-the-jamuna-multipurpose-bridge--bangladesh/14844,2019
None,No,Q2,,"Hayakawa, Kazunobu; Keola, Souknilanh; Sudsawasd, Sasatra; Yamanouchi, Kenta","[""Bridges | Employment access and outcomes"", ""Bridges | Agricultural outcomes"", ""Bridges | Household welfare and poverty""]",,"[""East Asia and Pacific""]","[""Thailand""]",https://doi.org/10.1016/j.asieco.2022.101536,Fixed effects (incl. DiD),"[""Impact evaluations""]",26476,"[""Upper middle income""]","[""2166""]","[""Bridges""]",Journal of Asian Economics,International bridge|| Trade liberalization|| Household,"[""2201"", ""2204"", ""2361""]","[""Employment access and outcomes"", ""Agricultural outcomes"", ""Household welfare and poverty""]",Journal article,JOUR,26476,Published,completed,Impacts of an International Bridge on Households: Evidence from Thailand,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/impacts-of-an-international-bridge-on-households--evidence-from-thailand/26476,2022
None,No,Q1,,"Ejermo, Olof; Hussinger, Katrin; Kalash, Basheer; Schubert, Torben","[""Bridges | Economic activity""]",,"[""Europe and Central Asia""]","[""Sweden""]",10.1111/jors.12543,Fixed effects (incl. DiD),"[""Impact evaluations""]",33356,"[""High income""]","[""2166""]","[""Bridges""]",JOURNAL OF REGIONAL SCIENCE,,"[""2202""]","[""Economic activity""]",Journal article,JOUR,33356,Published EGM,completed,Innovation in Malmo After the Oresund Bridge,ier,https://onlinelibrary.wiley.com/doi/10.1111/jors.12543,2022
Cost information (program costs and/or cost per participant),No,Q3,,"Achten, Sandra; Beyer, Lars; Dietrich, Antje-Mareike; Ebeling, Dennis; Lesmann, Christian; Steinkraus, Arne","[""Bridges | Economic activity""]",,"[""Europe and Central Asia""]","[""Sweden""]",10.1080/13504851.2018.1433289,Synthetic control,"[""Impact evaluations""]",33233,"[""High income""]","[""2166""]","[""Bridges""]",APPLIED ECONOMICS LETTERS,,"[""2202""]","[""Economic activity""]",Journal article,JOUR,33233,Published EGM,completed,Large Scale Infrastructure Investment and Economic Performance - A Case Study of Oresund,ier,https://www.tandfonline.com/doi/full/10.1080/13504851.2018.1433289,2019
None,No,Q1,,"Zant, Wouter","[""Bridges | Agricultural outcomes""]",,"[""Sub-Saharan Africa""]","[""Mozambique""]",https://doi.org/10.1093/jae/ejab018,Fixed effects (incl. DiD),"[""Impact evaluations""]",21750,"[""Low income""]","[""2166""]","[""Bridges""]",Journal of African Economies,Mozambique|| Maize|| Trade Costs|| bridge construction,"[""2204""]","[""Agricultural outcomes""]",Journal article,JOUR,21750,Published,completed,Measuring Trade Cost Reductions Through a New Bridge in Mozambique: Who Benefits From Transport Infrastructure?,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/measuring-trade-cost-reductions-through-a-new-bridge-in-mozambique--who-benefits-from-transport-infrastructure-/21750,2021
None,No,Q1,,"Lee, Kyunghee; Jin, Qianran (Jenny); Animesh, Animesh; Ramaprasad, Jui","[""Transportation network companies (ride-sharing firms) | Public transit access and use"", ""Transportation network companies (ride-sharing firms) | Private vehicle use"", ""Transportation network companies (ride-sharing firms) | Rail services access and use"", ""Transportation network companies (ride-sharing firms) | Travel time, commuting and speed""]",,"[""North America""]","[""United States""]",10.25300/MISQ/2022/15707,Fixed effects (incl. DiD),"[""Impact evaluations""]",33567,"[""High income""]","[""2173""]","[""Transportation network companies (ride-sharing firms)""]",MIS QUARTERLY,,"[""2177"", ""2178"", ""2179"", ""2181""]","[""Public transit access and use"", ""Private vehicle use"", ""Rail services access and use"", ""Travel time, commuting and speed""]",Journal article,JOUR,33567,Published EGM,completed,Impact Of Ride-Hailing Services on Transportation Mode Choices: Evidence from Traffic and Transit Ridership 1,ier,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3244207,2022
None,No,Q1,,"Pan, Yang; Qiu, Liangfei","[""Transportation network companies (ride-sharing firms) | Public transit access and use""]",,"[""North America""]","[""United States""]",https://doi.org/10.1111/poms.13582,Fixed effects (incl. DiD),"[""Impact evaluations""]",33440,"[""High income""]","[""2173""]","[""Transportation network companies (ride-sharing firms)""]",Production and Operations Management,,"[""2177""]","[""Public transit access and use""]",Journal article,JOUR,33440,Published EGM,completed,How Ride-Sharing Is Shaping Public Transit System: A Counterfactual Estimator Approach,ier,https://onlinelibrary.wiley.com/doi/full/10.1111/poms.13582,2022
None,No,Q1,,"Babar, Yash; Burtch, Gordon","[""Transportation network companies (ride-sharing firms) | Public transit access and use""]",,"[""North America""]","[""United States""]",10.1287/isre.2019.0917,Fixed effects (incl. DiD),"[""Impact evaluations""]",33275,"[""High income""]","[""2173""]","[""Transportation network companies (ride-sharing firms)""]",INFORMATION SYSTEMS RESEARCH,,"[""2177""]","[""Public transit access and use""]",Journal article,JOUR,33275,Published EGM,completed,Examining the Heterogeneous Impact of Ride-Hailing Services on Public Transit Use,ier,https://pubsonline.informs.org/doi/abs/10.1287/isre.2019.0917,2020
None,No,"Not indexed / Other (grey literature, working papers, dissertations, reports)",,"Junxiao, Ma","[""Transportation network companies (ride-sharing firms) | Public transit access and use"", ""Transportation network companies (ride-sharing firms) | Private vehicle use""]",,"[""Europe and Central Asia""]","[""United Kingdom""]",NO DOI,Fixed effects (incl. DiD),"[""Impact evaluations""]",34503,"[""High income""]","[""2173""]","[""Transportation network companies (ride-sharing firms)""]",Other,,"[""2177"", ""2178""]","[""Public transit access and use"", ""Private vehicle use""]",Thesis,Thesis,34503,Published EGM,completed,Traffic Improvement or Disruption: Ride-hailing in London,ier,https://ucalgary.scholaris.ca/items/25437cd9-9ea8-484b-9919-d13b15927a49,2021
None,No,"Not indexed / Other (grey literature, working papers, dissertations, reports)",,"Yu, Fei","[""Transportation network companies (ride-sharing firms) | Public transit access and use""]",,"[""North America""]","[""United States""]",,Fixed effects (incl. DiD),"[""Impact evaluations""]",34497,"[""High income""]","[""2173""]","[""Transportation network companies (ride-sharing firms)""]",not applicable,,"[""2177""]","[""Public transit access and use""]",Thesis,Thesis,34497,Published EGM,completed,Mobility as a Service Apps and Multimodal Transportation: Evidence from a Multimodal App,ier,https://summit.sfu.ca/_flysystem/fedora/2024-05/etd23029.pdf,2024
None,No,Q1,,"Hall, Jonathan; Palsson, Craig; Price, Joseph","[""Transportation network companies (ride-sharing firms) | Public transit access and use"", ""Transportation network companies (ride-sharing firms) | Private vehicle use""]",,"[""North America""]","[""United States""]",https://doi.org/10.1016/j.jue.2018.09.003,Fixed effects (incl. DiD),"[""Impact evaluations""]",34515,"[""High income""]","[""2173""]","[""Transportation network companies (ride-sharing firms)""]",Journal of Urban Economics,,"[""2177"", ""2178""]","[""Public transit access and use"", ""Private vehicle use""]",Journal article,JOUR,34515,Published EGM,completed,Is Uber a substitute or complement for public transit?,ier,https://www.sciencedirect.com/science/article/abs/pii/S0094119018300731?via%3Dihub,2018
None,No,Q1,,"Erhardt, Gregory; Mucci, Richard; Sana, Bhargava; Chen, Mei; Castiglione, Joe","[""Transportation network companies (ride-sharing firms) | Public transit access and use""]",,"[""North America""]","[""United States""]",10.1007/s11116-021-10178-4,Fixed effects (incl. DiD),"[""Impact evaluations""]",33360,"[""High income""]","[""2173""]","[""Transportation network companies (ride-sharing firms)""]",TRANSPORTATION,,"[""2177""]","[""Public transit access and use""]",Journal article,JOUR,33360,Published EGM,completed,Do Transportation Network Companies Increase or Decrease Transit Ridership? Empirical Evidence from San Francisco,ier,https://link.springer.com/article/10.1007/s11116-021-10178-4,2022
None,No,Q2,,"Dong, Xiaoxia; Ryerson, Megan, S.","[""Transportation network companies (ride-sharing firms) | Public transit access and use""]",,"[""North America""]","[""United States""]",10.1177/0361198120963116,Fixed effects (incl. DiD),"[""Impact evaluations""]",33862,"[""High income""]","[""2173""]","[""Transportation network companies (ride-sharing firms)""]",TRANSPORTATION RESEARCH RECORD,,"[""2177""]","[""Public transit access and use""]",Journal article,JOUR,33862,Published EGM,completed,Taxi Drops Off as Transit Grows Amid Ride-Hailing's Impact on Airport Access in New York,ier,https://journals.sagepub.com/doi/10.1177/0361198120963116,2021
None,No,Q1,,"Ngo, Nicole; Götschi, Thomas; Clark, Benjamin","[""Transportation network companies (ride-sharing firms) | Public transit access and use""]",,"[""North America""]","[""United States""]",10.1016/j.tranpol.2021.02.012,Fixed effects (incl. DiD),"[""Impact evaluations""]",33878,"[""High income""]","[""2173""]","[""Transportation network companies (ride-sharing firms)""]",TRANSPORT POLICY,,"[""2177""]","[""Public transit access and use""]",Journal article,JOUR,33878,Published EGM,completed,The effects of ride-hailing services on bus ridership in a medium-sized urban area using micro-level data: Evidence from the Lane Transit District,ier,https://www.sciencedirect.com/science/article/abs/pii/S0967070X21000536,2021
None,No,Q1,,"Deschaintres, Elodie; Morency, Catherine; Trepanier, Martin","[""Transportation network companies (ride-sharing firms) | Public transit access and use"", ""Transportation network companies (ride-sharing firms) | Travel time, commuting and speed""]",,"[""North America""]","[""Canada""]",10.1016/j.rtbm.2025.101311,Fixed effects (incl. DiD),"[""Impact evaluations""]",33342,"[""High income""]","[""2173""]","[""Transportation network companies (ride-sharing firms)""]",RESEARCH IN TRANSPORTATION BUSINESS AND MANAGEMENT,,"[""2177"", ""2181""]","[""Public transit access and use"", ""Travel time, commuting and speed""]",Journal article,JOUR,33342,Published EGM,completed,Assessing Complementary and Competing Interactions Between Transit and Shared Transportation Modes,ier,https://www.sciencedirect.com/science/article/abs/pii/S2210539525000264,2025
None,No,Q1,,"Das, Vivekananda","[""Transportation network companies (ride-sharing firms) | Public transit access and use"", ""Transportation network companies (ride-sharing firms) | Private vehicle use"", ""Transportation network companies (ride-sharing firms) | Other transport infrastructure access and use""]",,"[""North America""]","[""United States""]",10.3390/smartcities3020020,Statistical matching,"[""Impact evaluations""]",33338,"[""High income""]","[""2173""]","[""Transportation network companies (ride-sharing firms)""]",SMART CITIES,,"[""2177"", ""2178"", ""2180""]","[""Public transit access and use"", ""Private vehicle use"", ""Other transport infrastructure access and use""]",Journal article,JOUR,33338,Published EGM,completed,Does Adoption of Ridehailing Result in More Frequent Sustainable Mobility Choices? An Investigation Based on the National Household Travel Survey (NHTS) 2017 Data,ier,https://www.mdpi.com/2624-6511/3/2/20,2020
